ts_ms,cache,ttfb_ms,bytes,model,hash
1756320061146,api,1088,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756320088233,mem,0,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756320254916,mem,0,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756323190942,disk,0,8192,eleven_turbo_v2,b33f97a65fc14e0e743828bde0c79eeeb4e77e16
1756324419797,api,4121,0,eleven_turbo_v2,aa65c4f6b3a580ecdd657e1554eff330eec4e0ba
1756325231161,api,1099,5636096,eleven_turbo_v2,23b99b4e6d3b1f19767987a0b088ddc07497dfb2
1756325258133,api,839,1129370,eleven_turbo_v2,aac6f16064aca0af1f654f305e2bd32d86e699b2
1756325261906,api,741,1216306,eleven_turbo_v2,de9d2acaa8773f49e76c5592a3f85930fcf42b78
1756325265758,api,751,1281089,eleven_turbo_v2,2404370c492d7caf4fd43ba07cd805178810e647
1756325269326,api,761,1129370,eleven_turbo_v2,a1149da53d7b385a305b805e7e9e2f11cccfd990
1756325272898,api,689,1156120,eleven_turbo_v2,ea0147afb9f59b6e21d5d8d505c794cf89326b21
1756325276076,api,676,1037837,eleven_turbo_v2,629b22367865a8cb96c1654c96d62cce3a21769f
1756325279522,api,633,1084649,eleven_turbo_v2,ed7509e38f87ecc34a63977715a7619b01174103
1756325282753,api,707,975561,eleven_turbo_v2,4852f4288508f5b28220a238911eaeceeb1eceec
1756325286014,api,641,1083813,eleven_turbo_v2,bf5f66b2a415eb2952344396422971e7c7618a54
1756325289299,api,665,1003565,eleven_turbo_v2,81f02720438633d0b99a2caf7968dbb2f0d4ff72
1756325292577,api,647,1026134,eleven_turbo_v2,70f2677619c4c56d7a9a60d2825c74c9371376c6
1756325295716,api,647,954663,eleven_turbo_v2,7468f77fbd6dfd65027d8040177723a27aa9d5c0
1756325299031,api,716,1048286,eleven_turbo_v2,078df66b84c4ef6b76d6efa94227d000a8d9372a
1756325302815,api,696,1069184,eleven_turbo_v2,c987791eafb9b3cf09428c0c092d3cfb6c5915b6
1756325306044,api,699,1013596,eleven_turbo_v2,3dbad8b5667a7af4c1a230cb6bca470bc597449d
1756325306190,api,821,1020283,eleven_turbo_v2,2bf9b1fe7d6281ba3f42e1aec13b9cda6ca7ea1b
1756325309524,api,780,1100531,eleven_turbo_v2,79eca00898eb732dd2952903d504099556f0644c
1756325310342,api,785,1094262,eleven_turbo_v2,dbd36e3135121763cfa71652b0828fe474b18f19
1756325312940,api,745,1068348,eleven_turbo_v2,04a2368032285a3cfacd082985be902a8c75e6b7
1756325314041,api,760,1118085,eleven_turbo_v2,7b49895b3c405337ca536c91317ed8bd759313f9
1756325316234,api,655,1058735,eleven_turbo_v2,75a71816bb96f31cf4d4e50ceef81152fe4bbf5b
1756325317364,api,722,1059571,eleven_turbo_v2,359aa21f11bd87d4662314f493ee1c2a944b24dd
1756325319650,api,801,1078797,eleven_turbo_v2,61b98b061cb2e63c7b195c3ce2f950b9e59dfde1
1756325320549,api,761,1033658,eleven_turbo_v2,31f24ec3986eff22cbfc7d5cf7f5678218f94204
1756325322694,api,800,936691,eleven_turbo_v2,77d386848d39c4d96abf2dbb960956ffc5c956d9
1756325325812,api,694,982249,eleven_turbo_v2,c9caa7365b49e8e9d20ee902ae45f6053b3fa77f
1756325329495,api,763,1177436,eleven_turbo_v2,b13650d9054289ab9d71d8d3b04578093f927c6f
1756325329508,api,672,430080,eleven_turbo_v2,a16df46df805a360b6ad4c523baa4013d3fc1a41
1756325333235,api,831,1085485,eleven_turbo_v2,cf46139bcc50ec74c07ffac79be781a8c3de1f27
1756325336756,api,720,1097187,eleven_turbo_v2,d1bd88760c405d9186b5914743d2816de9d54492
1756325340408,api,778,1194572,eleven_turbo_v2,fdf6a71b10a283e2d2be773454423f56f5f06913
1756325344086,api,716,1146507,eleven_turbo_v2,741a8366db521e115db2a22d5a90d00db8a1910b
1756325349370,api,800,1715767,eleven_turbo_v2,3be2a65c5003f8ca741e59fe231b8f654d040b0a
1756325355084,api,1023,1919731,eleven_turbo_v2,b648a7e4fa62b4cb74812998cc64b5f41d7189c7
1756325360939,api,867,2114500,eleven_turbo_v2,9841eb9e43cd69a9ac7d35af0207508807b78f69
1756325366741,api,899,1996636,eleven_turbo_v2,293907648f59a26f0b12254e07ca0ae046b2c9f0
1756325369075,api,864,430080,eleven_turbo_v2,d9f02976ad88cbec00fd7376fff6a16ba78fc19d
